"#KateConwayisaJerk" (2015)	2015-????
"#LawstinWoods" (2013) {The Great Divide (#1.4)}	2014
"'t Zonnetje in huis" (1993) {Kopje onder (#1.12)}	????
"1 Day with..." (2004) {Cameron Mathison (#2.9)}	2005
"1 pondo no fukuin" (2008) {(#1.5)}	2008
"10 kirjaa rahasta" (2011) {Pentti Haanp��: Noitaympyr� (#1.5)}	2011
"10 Years Younger" (2004/II) {Spinning a More Youthful Look (#3.10)}	2008
"10-8: Officers on Duty" (2003) {Gimme Shelter (#1.8)}	2003
"100 Days to Heaven" (2011) {How Can Claire Help Sophia? (#1.110)}	2011
"100 Moments That Rocked TV" (2003)	2003-????
"1000 Ways to Die" (2008) {Bagged}	2011
"1001 Rikua" (2015) {(#1.2)}	2015
"10i entoli" (2004) {Sapounopera (#3.8)}	2006
"10x10" (1989) {Full English Breakfast (#10.5)}	1998
"112 Noodoproep: De Echte Verhalen" (2014) {Afl.6 (#1.6)}	2014
"112 Noodoproep: De Echte Verhalen" (2014) {Afl.9 (#1.9)}	2014
"13. komnata" (2006) {13. komnata Jany Synkov� (#4.38)}	2009
"13. komnata" (2006) {13. komnata Jaroslava Pouzara (#1.16)}	2006
"18 - Allein unter M�dchen" (2004) {Dunkle Geheimnisse (#2.3)}	2007
"1916 Seachtar na C�sca" (2010)	2010-????
"1976 Presidential Debates" (1976) {(#1.1)}	1976
"1988 National League Championship Series" (1988) {Game 1}	1988
"1990" (1977) {You'll Never Walk Alone (#2.6)}	1978
"1st & Ten" (1984) {Duty Calls (#5.12)}	1989
"1st & Ten" (1984) {Out of the Past (#5.10)}	1989
"2 straten verder" (1999) {(#2.6)}	2002
"20 heures le journal" (1981) {(1999-03-29)}	1999
"20 heures le journal" (1981) {(2001-02-03)}	2001
"20 heures le journal" (1981) {(2001-09-18)}	2001
"20 heures le journal" (1981) {(2010-05-20)}	2010
"20 to 1" (2005) {Adults Only 20 to 1: Movie Monsters (#9.3)}	2010
"20/20" (1978) {The Naked Truth (#36.59)}	2013
"2015 FIFA Women's World Cup" (2015) {Australia vs. Sweden (#1.40)}	2015
"220 Volts" (2011) {Sem Roteiro (#1.10)}	2012
"24" (2001) {Day 6: 6:00 p.m.-7:00 p.m. (#6.13)}	2007
"24" (2001) {Day 7: 5:00 a.m.-6:00 a.m. (#7.22)}	2009
"2xl" (2013) {(#1.10)}	2013
"3 op Reis" (2007) {Kameroen en Seattle (#7.27)}	2014
"3-2-1 Contact" (1980) {Your Body: Spinning (#7.9)}	1988
"3-2-1 Penguins!" (2007) {I Scream, You Scream! (#1.1)}	2007
"30 Minute Meals" (2001) {Indoor Southern-Style Picnic Supper (#25.17)}	2011
"30 Minute Meals" (2001) {You Say Marsala, I Say Marsala}	2008
"30 Vies" (2011) {Rosalie}	????
"33 kvadratnykh metra" (1998) {(#1.7)}	????
"3D Music Studio" (2010) {(#1.40)}	2010
"3x4" (1986) {(1988-08-08)}	1988
"4 Points" (2012) {Chris Hardwick (#1.8)}	2012
"48 Hours on ID" (2010) {Death of a Dream (#6.45)}	2015
"5 Para a Meia Noite" (2009) {(2012-06-14)}	2012
"5 Second Movies" (2007) {Jurassic Park (#1.44)}	2008
"59 segundos" (2004) {(2005-06-06)}	2005
"59 segundos" (2004) {(2009-06-10)}	2009
"5th Gear" (2002) {(#1.1)}	2002
"5th Gear" (2002) {(#18.1)}	2010
"5th Gear" (2002) {World's Greatest Sports Car (#3.8)}	2003
